,word,frequency,decade,count,freq_entropy
171264,remus,3.568604912791325e-07,1840,18.0,1.2571711944541089
2373521,remus,1.5820519997552566e-07,1950,18.0,1.2571711944541089
2646454,remus,3.666749508044441e-07,1960,18.0,1.2571711944541089
934273,remus,1.3670377259634315e-05,1890,18.0,1.2571711944541089
3847101,remus,4.084934331695474e-07,2000,18.0,1.2571711944541089
334928,remus,1.1495048278053262e-07,1850,18.0,1.2571711944541089
2947715,remus,2.479521938252217e-07,1970,18.0,1.2571711944541089
60004,remus,1.4256630758965998e-07,1830,18.0,1.2571711944541089
1146569,remus,4.308821324942737e-07,1900,18.0,1.2571711944541089
1530414,remus,9.947627582929135e-07,1920,18.0,1.2571711944541089
2059412,peale,8.185880722795259e-07,1940,18.0,1.2886443383355881
185346,peale,1.784302456395663e-07,1840,18.0,1.2886443383355881
3242875,peale,3.512890160121437e-07,1980,18.0,1.2886443383355881
1172210,peale,1.2926463974828214e-07,1900,18.0,1.2886443383355881
981166,peale,2.3248940917745437e-07,1890,18.0,1.2886443383355881
1800856,peale,2.880390073945374e-07,1930,18.0,1.2886443383355881
2326260,peale,1.3842954997858495e-06,1950,18.0,1.2886443383355881
337231,peale,1.1495048278053262e-07,1850,18.0,1.2886443383355881
825539,peale,9.328746326572917e-08,1880,18.0,1.2886443383355881
1314328,peale,1.799992990810704e-05,1910,18.0,1.2886443383355881
3585515,peale,1.0178369133484901e-07,1990,18.0,1.2886443383355881
2938007,peale,3.7192829073783257e-07,1970,18.0,1.2886443383355881
651907,peale,1.5231486610355525e-07,1870,18.0,1.2886443383355881
479111,peale,1.6801146779074552e-07,1860,18.0,1.2886443383355881
2624909,peale,1.18150817481432e-06,1960,18.0,1.2886443383355881
1564094,peale,1.842153256097988e-07,1920,18.0,1.2886443383355881
3874573,peale,1.5711285891136438e-07,2000,18.0,1.2886443383355881
20861,peale,1.3543799221017694e-06,1830,18.0,1.2886443383355881
1816406,sappho,1.6459371851116422e-07,1930,18.0,1.2901029441959329
1137878,sappho,6.894114119908379e-07,1900,18.0,1.2901029441959329
3917951,sappho,6.284514356454576e-08,2000,18.0,1.2901029441959329
30910,sappho,5.702652303586398e-07,1830,18.0,1.2901029441959329
946888,sappho,2.045906800761598e-06,1890,18.0,1.2901029441959329
3198160,sappho,7.5331977878159696e-06,1980,18.0,1.2901029441959329
2379884,sappho,1.1865389998164425e-07,1950,18.0,1.2901029441959329
786588,sappho,6.996559744929686e-07,1880,18.0,1.2901029441959329
3573351,sappho,1.3571158844646533e-07,1990,18.0,1.2901029441959329
2656587,sappho,2.444499672029628e-07,1960,18.0,1.2901029441959329
2067532,sappho,4.911528433677155e-07,1940,18.0,1.2901029441959329
163170,sappho,5.947674854652209e-07,1840,18.0,1.2901029441959329
2950697,sappho,2.0662682818768482e-07,1970,18.0,1.2901029441959329
1547971,sappho,3.315875860976378e-07,1920,18.0,1.2901029441959329
1345429,sappho,5.391684073856948e-07,1910,18.0,1.2901029441959329
427989,sappho,3.293024768698612e-05,1860,18.0,1.2901029441959329
620035,sappho,8.123459525522945e-07,1870,18.0,1.2901029441959329
304905,sappho,8.621286208539947e-07,1850,18.0,1.2901029441959329
643916,donatello,2.0308648813807362e-07,1870,18.0,1.323198355283735
2631644,donatello,7.74091562809382e-07,1960,18.0,1.323198355283735
2084072,donatello,2.4557642168385776e-07,1940,18.0,1.323198355283735
1829091,donatello,1.2344528888337317e-07,1930,18.0,1.323198355283735
3576274,donatello,1.3571158844646533e-07,1990,18.0,1.323198355283735
1147914,donatello,3.877939192448463e-07,1900,18.0,1.323198355283735
2370679,donatello,1.5820519997552566e-07,1950,18.0,1.323198355283735
2907300,donatello,2.2728951100645326e-06,1970,18.0,1.323198355283735
956035,donatello,9.299576367098174e-07,1890,18.0,1.323198355283735
3868526,donatello,1.8853543069363725e-07,2000,18.0,1.323198355283735
1559133,donatello,2.2105839073175854e-07,1920,18.0,1.323198355283735
300736,donatello,1.264455310585859e-06,1850,18.0,1.323198355283735
429016,donatello,2.1617475522409257e-05,1860,18.0,1.323198355283735
270137,donatello,5.947674854652209e-08,1840,18.0,1.323198355283735
774467,donatello,1.959036728580312e-06,1880,18.0,1.323198355283735
1372894,donatello,1.2442347862746802e-07,1910,18.0,1.323198355283735
46310,donatello,2.1384946138449e-07,1830,18.0,1.323198355283735
3244927,donatello,3.122569031219055e-07,1980,18.0,1.323198355283735
56785,bonner,1.4256630758965998e-07,1830,18.0,1.3365751444724154
3846642,bonner,4.084934331695474e-07,2000,18.0,1.3365751444724154
816210,bonner,1.3993119489859372e-07,1880,18.0,1.3365751444724154
957605,bonner,8.369618730388356e-07,1890,18.0,1.3365751444724154
186014,bonner,1.784302456395663e-07,1840,18.0,1.3365751444724154
3514708,bonner,1.9678180324737474e-06,1990,18.0,1.3365751444724154
461936,bonner,4.480305807753214e-07,1860,18.0,1.3365751444724154
1549587,bonner,3.315875860976378e-07,1920,18.0,1.3365751444724154
2644682,bonner,4.074166120049379e-07,1960,18.0,1.3365751444724154
2045923,bonner,2.21018779515472e-06,1940,18.0,1.3365751444724154
667100,bonner,1.0154324406903681e-07,1870,18.0,1.3365751444724154
1780951,bonner,8.641170221836122e-07,1930,18.0,1.3365751444724154
3220508,bonner,1.0148349351461928e-06,1980,18.0,1.3365751444724154
2905921,bonner,2.562172669527291e-06,1970,18.0,1.3365751444724154
323942,bonner,2.2990096556106525e-07,1850,18.0,1.3365751444724154
2373319,bonner,1.5820519997552566e-07,1950,18.0,1.3365751444724154
1358080,bonner,2.4884695725493604e-07,1910,18.0,1.3365751444724154
1109497,bonner,2.7921162185628936e-05,1900,18.0,1.3365751444724154
76542,lancelot,7.128315379482999e-08,1830,18.0,1.3449626835753943
2305144,lancelot,2.859558989557626e-05,1950,18.0,1.3449626835753943
651716,lancelot,1.5231486610355525e-07,1870,18.0,1.3449626835753943
1334540,lancelot,1.1612858005230347e-06,1910,18.0,1.3449626835753943
3200289,lancelot,5.464495804633346e-06,1980,18.0,1.3449626835753943
2065328,lancelot,5.730116505956682e-07,1940,18.0,1.3449626835753943
1814854,lancelot,1.6459371851116422e-07,1930,18.0,1.3449626835753943
988508,lancelot,1.394936455064726e-07,1890,18.0,1.3449626835753943
452282,lancelot,8.960611615506428e-07,1860,18.0,1.3449626835753943
1128300,lancelot,1.4649992504805305e-06,1900,18.0,1.3449626835753943
